SampleID,Flask_No,Enrichment,Carbon,Media,Replicate,Time_Point,Time,Minutes,Hours,Absorbance,Absorbance_300,Biomass_mg
Laura2_TPA_BH_R3_T0,75,Laura2,TPA,BH,R3,T0,06072021_0500pm,0,0,0.235,,
Emma2_DCPET_ARW_R1_T1,1,Emma2,DCPET,ARW,R1,T1,06082021_0153pm,1373,22.9,0.744,,
Emma2_DCPET_ARW_R2_T1,2,Emma2,DCPET,ARW,R2,T1,06082021_0153pm,1373,22.9,0.345,,
Emma2_DCPET_ARW_R3_T1,3,Emma2,DCPET,ARW,R3,T1,06082021_0153pm,1373,22.9,0.391,,
Laura1_DCPET_ARW_R1_T1,4,Laura1,DCPET,ARW,R1,T1,06082021_0153pm,1373,22.9,0.32,,
Laura1_DCPET_ARW_R2_T1,5,Laura1,DCPET,ARW,R2,T1,06082021_0153pm,1373,22.9,0.603,,
Laura1_DCPET_ARW_R3_T1,6,Laura1,DCPET,ARW,R3,T1,06082021_0153pm,1373,22.9,0.547,,
Laura2_DCPET_ARW_R1_T1,7,Laura2,DCPET,ARW,R1,T1,06082021_0153pm,1373,22.9,0.543,,
Laura2_DCPET_ARW_R2_T1,8,Laura2,DCPET,ARW,R2,T1,06082021_0153pm,1373,22.9,0.299,,
Laura2_DCPET_ARW_R3_T1,9,Laura2,DCPET,ARW,R3,T1,06082021_0153pm,1373,22.9,0.355,,
Emma2_Blank_ARW_R1_T1,10,Emma2,Blank,ARW,R1,T1,06082021_0153pm,1373,22.9,0.062,,
Emma2_Blank_ARW_R2_T1,11,Emma2,Blank,ARW,R2,T1,06082021_0153pm,1373,22.9,0.228,,
Emma2_Blank_ARW_R3_T1,12,Emma2,Blank,ARW,R3,T1,06082021_0153pm,1373,22.9,0.088,,
Laura1_Blank_ARW_R1_T1,13,Laura1,Blank,ARW,R1,T1,06082021_0153pm,1373,22.9,0.144,,
Laura1_Blank_ARW_R2_T1,14,Laura1,Blank,ARW,R2,T1,06082021_0153pm,1373,22.9,0.178,,
Laura1_Blank_ARW_R3_T1,15,Laura1,Blank,ARW,R3,T1,06082021_0153pm,1373,22.9,0.139,,
Laura2_Blank_ARW_R1_T1,16,Laura2,Blank,ARW,R1,T1,06082021_0153pm,1373,22.9,0.24,,
Laura2_Blank_ARW_R2_T1,17,Laura2,Blank,ARW,R2,T1,06082021_0153pm,1373,22.9,0.116,,
Laura2_Blank_ARW_R3_T1,18,Laura2,Blank,ARW,R3,T1,06082021_0153pm,1373,22.9,0.314,,
Emma2_DCPET_BH_R1_T1,19,Emma2,DCPET,BH,R1,T1,06082021_0153pm,1373,22.9,0.295,,
Emma2_DCPET_BH_R2_T1,20,Emma2,DCPET,BH,R2,T1,06082021_0153pm,1373,22.9,0.573,,
Emma2_DCPET_BH_R3_T1,21,Emma2,DCPET,BH,R3,T1,06082021_0153pm,1373,22.9,0.555,,
Laura1_DCPET_BH_R1_T1,22,Laura1,DCPET,BH,R1,T1,06082021_0153pm,1373,22.9,0.419,,
Laura1_DCPET_BH_R2_T1,23,Laura1,DCPET,BH,R2,T1,06082021_0153pm,1373,22.9,0.904,,
Laura1_DCPET_BH_R3_T1,24,Laura1,DCPET,BH,R3,T1,06082021_0153pm,1373,22.9,0.638,,
Laura2_DCPET_BH_R1_T1,25,Laura2,DCPET,BH,R1,T1,06082021_0153pm,1373,22.9,0.611,,
Laura2_DCPET_BH_R2_T1,26,Laura2,DCPET,BH,R2,T1,06082021_0153pm,1373,22.9,0.556,,
Laura2_DCPET_BH_R3_T1,27,Laura2,DCPET,BH,R3,T1,06082021_0153pm,1373,22.9,0.516,,
Emma2_Blank_BH_R1_T1,28,Emma2,Blank,BH,R1,T1,06082021_0153pm,1373,22.9,0.097,,
Emma2_Blank_BH_R2_T1,29,Emma2,Blank,BH,R2,T1,06082021_0153pm,1373,22.9,0.079,,
Emma2_Blank_BH_R3_T1,30,Emma2,Blank,BH,R3,T1,06082021_0153pm,1373,22.9,0.173,,
Laura1_Blank_BH_R1_T1,31,Laura1,Blank,BH,R1,T1,06082021_0153pm,1373,22.9,0.202,,
Laura1_Blank_BH_R2_T1,32,Laura1,Blank,BH,R2,T1,06082021_0153pm,1373,22.9,0.328,,
Laura1_Blank_BH_R3_T1,33,Laura1,Blank,BH,R3,T1,06082021_0153pm,1373,22.9,0.172,,
Laura2_Blank_BH_R1_T1,34,Laura2,Blank,BH,R1,T1,06082021_0153pm,1373,22.9,0.194,,
Laura2_Blank_BH_R2_T1,35,Laura2,Blank,BH,R2,T1,06082021_0153pm,1373,22.9,0.108,,
Laura2_Blank_BH_R3_T1,36,Laura2,Blank,BH,R3,T1,06082021_0153pm,1373,22.9,0.084,,
Emma2_DCPET_AMW_R1_T1,37,Emma2,DCPET,AMW,R1,T1,06082021_0153pm,1373,22.9,0.267,,
Emma2_DCPET_AMW_R2_T1,38,Emma2,DCPET,AMW,R2,T1,06082021_0153pm,1373,22.9,0.96,,
Emma2_DCPET_AMW_R3_T1,39,Emma2,DCPET,AMW,R3,T1,06082021_0153pm,1373,22.9,0.453,,
Laura1_DCPET_AMW_R1_T1,40,Laura1,DCPET,AMW,R1,T1,06082021_0153pm,1373,22.9,0.648,,
Laura1_DCPET_AMW_R2_T1,41,Laura1,DCPET,AMW,R2,T1,06082021_0153pm,1373,22.9,0.442,,
Laura1_DCPET_AMW_R3_T1,42,Laura1,DCPET,AMW,R3,T1,06082021_0153pm,1373,22.9,0.62,,
Laura2_DCPET_AMW_R1_T1,43,Laura2,DCPET,AMW,R1,T1,06082021_0153pm,1373,22.9,0.389,,
Laura2_DCPET_AMW_R2_T1,44,Laura2,DCPET,AMW,R2,T1,06082021_0153pm,1373,22.9,0.38,,
